d_5p_del,d_3p_del,d_gene,count
1,6,IGHD1-1*01,6
9,4,IGHD3-10*01,2
9,1,IGHD2-21*01,1
7,6,IGHD6-13*01,1
8,7,IGHD3-22*01,3
18,0,IGHD3-10*02,5
2,5,IGHD2/OR15-2b*01,1
3,10,IGHD3-22*01,1
6,4,IGHD3-16*02,2
1,3,IGHD4-17*01,7
2,8,IGHD3-9*01,2
13,0,IGHD6-6*01,1
13,0,IGHD1-20*01,2
2,2,IGHD3-9*01,3
5,8,IGHD2-15*01,3
4,7,IGHD2-2*03,18
10,13,IGHD3-10*01,2
2,0,IGHD4-4*01,4
16,13,IGHD3-16*02,2
1,1,IGHD6-6*01,4
7,0,IGHD4/OR15-4b*01,1
0,6,IGHD6-25*01,2
1,1,IGHD5-5*01,2
13,6,IGHD3-9*01,3
3,0,IGHD4-4*01,2
4,5,IGHD1-26*01,3
16,3,IGHD5/OR15-5b*01,2
18,4,IGHD3-16*01,1
11,10,IGHD3-22*01,1
11,0,IGHD5-24*01,1
6,2,IGHD4-23*01,14
0,6,IGHD4/OR15-4b*01,3
0,11,IGHD5/OR15-5b*01,1
1,9,IGHD3/OR15-3b*01,3
18,8,IGHD3-16*01,1
0,22,IGHD2/OR15-2b*01,1
1,3,IGHD7-27*01,1
6,0,IGHD2-2*03,4
9,9,IGHD5/OR15-5b*01,1
5,11,IGHD2-15*01,2
4,1,IGHD1-14*01,1
5,2,IGHD2-2*03,8
14,12,IGHD3/OR15-3b*01,1
12,12,IGHD3-10*02,2
0,2,IGHD2-2*03,3
15,7,IGHD3-16*02,6
6,5,IGHD5/OR15-5b*01,1
14,2,IGHD2-8*02,1
2,11,IGHD3-22*01,6
5,8,IGHD3-10*01,2
3,8,IGHD2-2*03,1
22,4,IGHD3-16*01,2
16,2,IGHD2/OR15-2b*01,2
1,8,IGHD2-2*03,1
0,6,IGHD2-2*03,5
19,2,IGHD5/OR15-5b*01,1
2,4,IGHD3-22*01,6
3,13,IGHD3-22*01,1
4,3,IGHD2/OR15-2b*01,1
9,2,IGHD5-12*01,2
0,2,IGHD5/OR15-5b*01,3
16,0,IGHD3/OR15-3b*01,1
3,13,IGHD3-16*02,1
13,3,IGHD2-8*02,1
5,1,IGHD3-3*01,2
1,21,IGHD2/OR15-2b*01,1
6,18,IGHD3-3*01,2
4,1,IGHD6-19*01,10
3,1,IGHD3-16*02,13
10,1,IGHD1-20*01,1
2,6,IGHD6-13*01,2
9,8,IGHD3-3*02,4
3,4,IGHD5-5*01,5
6,5,IGHD3-3*02,1
9,1,IGHD6-19*01,2
6,3,IGHD2-2*03,5
5,3,IGHD4-4*01,1
4,2,IGHD1-1*01,1
11,8,IGHD3/OR15-3b*01,1
13,0,IGHD3-10*02,1
8,2,IGHD2-2*03,2
4,12,IGHD3-10*01,7
1,10,IGHD4/OR15-4b*01,1
0,3,IGHD2-15*01,2
9,3,IGHD6-13*01,1
6,2,IGHD5/OR15-5b*01,1
13,4,IGHD5/OR15-5b*01,1
5,4,IGHD3-22*01,1
11,13,IGHD3/OR15-3b*01,2
19,1,IGHD3-16*01,1
12,8,IGHD3-22*01,7
15,6,IGHD3-3*02,2
5,4,IGHD3-16*02,2
14,2,IGHD3-10*02,1
4,0,IGHD7-27*01,5
1,0,IGHD2-8*02,1
8,2,IGHD5-24*01,1
0,3,IGHD6-13*01,9
19,7,IGHD3-16*01,2
1,9,IGHD2-2*03,14
9,0,IGHD2-21*01,5
10,6,IGHD2/OR15-2b*01,5
2,4,IGHD5-5*01,13
4,11,IGHD2-2*03,1
11,11,IGHD2-2*03,1
13,11,IGHD2/OR15-2b*01,1
5,6,IGHD3-3*01,1
14,3,IGHD2-2*03,4
4,1,IGHD5/OR15-5b*01,1
2,8,IGHD2/OR15-2b*01,1
10,2,IGHD2-2*03,2
2,7,IGHD5-5*01,1
7,3,IGHD3/OR15-3b*01,1
