d_5p_del,d_3p_del,d_gene,count
8,0,IGHD2-2*03,1
11,19,IGHD3/OR15-3b*01,1
10,1,IGHD2-2*02,2
2,7,IGHD6-6*01,1
9,6,IGHD5-5*01,1
0,9,IGHD6-19*01,6
4,14,IGHD5/OR15-5b*01,1
13,8,IGHD3-16*02,2
9,13,IGHD3-10*01,1
10,0,IGHD5-12*01,3
10,6,IGHD2/OR15-2b*01,6
0,2,IGHD1-20*01,1
1,4,IGHD3-10*02,1
17,12,IGHD3-16*02,22
13,6,IGHD3-3*02,3
7,10,IGHD3-9*01,4
3,0,IGHD1-20*01,4
2,7,IGHD1/OR15-1b*01,1
11,4,IGHD2-21*01,1
1,2,IGHD6-13*01,1
5,3,IGHD3-3*02,1
7,0,IGHD6-13*01,40
6,9,IGHD3-22*01,1
6,13,IGHD3-10*01,4
0,10,IGHD3-9*01,17
0,13,IGHD3-10*02,1
11,2,IGHD2-15*01,1
5,8,IGHD3-22*01,3
11,13,IGHD3/OR15-3b*01,3
2,4,IGHD7-27*01,1
21,8,IGHD3-16*02,1
0,3,IGHD4-4*01,2
14,5,IGHD2-15*01,1
10,1,IGHD3-22*01,1
3,1,IGHD3-22*01,2
5,9,IGHD3-22*01,1
8,5,IGHD2-21*02,12
17,6,IGHD3-16*02,8
6,11,IGHD3-3*02,2
17,3,IGHD3-10*02,1
17,7,IGHD3-16*01,7
4,4,IGHD3-9*01,2
0,3,IGHD3-10*01,7
8,10,IGHD2-2*03,1
10,8,IGHD2-21*02,3
3,3,IGHD7-27*01,1
6,5,IGHD2-15*01,3
12,4,IGHD3-16*02,2
1,14,IGHD2-21*02,1
14,1,IGHD2-21*01,1
5,0,IGHD3-16*02,3
4,4,IGHD6-13*01,1
0,0,IGHD3-22*01,36
2,6,IGHD5-24*01,1
17,2,IGHD2-2*02,2
3,2,IGHD5/OR15-5b*01,1
3,22,IGHD3/OR15-3b*01,3
1,19,IGHD3/OR15-3b*01,1
0,6,IGHD5/OR15-5b*01,2
14,16,IGHD3-16*02,2
6,5,IGHD3-3*01,5
12,3,IGHD3-22*01,1
0,9,IGHD3-3*01,8
5,11,IGHD5/OR15-5b*01,1
10,13,IGHD2-21*02,1
14,11,IGHD3-3*02,1
