v_gene,d_gene,j_gene,cdr3_length,v_3p_del,d_5p_del,d_3p_del,j_5p_del,vd_insertion,dj_insertion,count
IGHV4/OR15-8*03,IGHD3-3*02,IGHJ4*02_F,88,2,11,3,4,14,35,1
IGHV3-NL1*01,IGHD2-2*03,IGHJ6*03_F,75,0,3,2,7,6,7,1
IGHV3-h*02,IGHD4-23*01,IGHJ4*02_F,36,1,4,6,7,4,3,2
IGHV3-66*03,IGHD2-15*01,IGHJ6*02_F,75,0,1,1,6,4,5,1
IGHV3-66*03,IGHD3-22*01,IGHJ5*02_F,72,1,2,3,8,24,0,1
IGHV3-h*02,IGHD2-21*01,IGHJ6*03_F,72,0,6,2,3,6,6,2
IGHV3-NL1*01,IGHD3-10*01,IGHJ4*02_F,65,5,10,1,9,29,2,1
IGHV3-23*03,IGHD3-10*01,IGHJ4*02_F,56,0,0,13,8,16,4,1
IGHV3-20*91,IGHD3-16*01,IGHJ6*02_F,66,2,17,1,0,3,3,2
IGHV1-46*02,IGHD3-10*01,IGHJ5*02_F,57,0,10,10,0,12,3,1
IGHV3-h*02,IGHD2-15*01,IGHJ6*02_F,73,2,14,0,4,17,2,1
IGHV3-53*91,IGHD2-8*01,IGHJ6*03_F,-1,9,3,10,8,10,7,1
IGHV5-51*02,IGHD2-21*02,IGHJ4*02_F,42,1,1,13,3,4,0,1
IGHV3-h*01,IGHD3-22*01,IGHJ2*01_F,72,0,1,7,0,10,6,1
IGHV3-h*02,IGHD2-2*03,IGHJ4*02_F,73,4,2,5,6,28,3,1
IGHV3-23*04,IGHD3-9*01,IGHJ3*02_F,75,0,4,5,0,19,4,1
IGHV7-4-1*92,IGHD3-3*01,IGHJ6*03_F,-1,0,5,0,3,5,2,1
IGHV3-h*01,IGHD2-15*01,IGHJ6*02_F,73,0,6,0,1,2,4,1
IGHV3-23*04,IGHD7-27*01,IGHJ4*02_F,36,0,3,0,6,4,2,1
IGHV3-71*01,IGHD1-26*01,IGHJ6*02_F,66,2,5,7,0,6,11,1
IGHV1-69*13,IGHD5-12*01,IGHJ6*03_F,48,3,6,2,17,2,8,2
IGHV3-h*02,IGHD2-21*02,IGHJ5*02_F,36,0,6,11,6,0,0,1
IGHV4-61*02,IGHD3-10*01,IGHJ4*02_F,69,1,1,1,0,5,8,1
IGHV3-h*02,IGHD6-13*01,IGHJ6*02_F,72,4,2,3,3,12,8,2
IGHV3-23*04,IGHD3-10*01,IGHJ4*02_F,57,1,7,0,0,4,2,1
IGHV1-f*01,IGHD3-16*02,IGHJ4*02_F,42,0,7,12,12,6,4,1
IGHV4-61*08,IGHD3-10*01,IGHJ5*02_F,48,0,1,11,3,1,0,1
IGHV3-49*05,IGHD2-21*02,IGHJ4*02_F,-1,16,9,5,10,8,13,4
IGHV4-34*13,IGHD2-15*01,IGHJ6*02_F,69,2,7,6,3,6,7,1
IGHV3-h*01,IGHD3-16*02,IGHJ4*02_F,44,0,9,15,0,1,2,1
IGHV1-69*13,IGHD3-9*01,IGHJ4*02_F,42,1,11,9,3,7,0,1
IGHV1-69*13,IGHD6-6*01,IGHJ4*02_F,17,0,16,0,14,1,0,1
IGHV3-33*06,IGHD2-2*02,IGHJ4*02_F,45,0,11,1,6,4,0,1
IGHV3-64*04,IGHD3-22*01,IGHJ3*02_F,66,0,2,14,2,8,15,1
IGHV1-18*03,IGHD2-2*02,IGHJ3*02_F,75,0,7,0,1,4,18,1
IGHV3-20*91,IGHD3-22*01,IGHJ4*02_F,69,2,1,5,0,12,6,1
IGHV3-15*07,IGHD6-19*01,IGHJ4*02_F,36,3,8,1,5,4,0,1
