v_5p_del,v_gene,count
209,IGHV3-NL1*01,1013
254,IGHV3-9*02,1
158,IGHV4-59*09,15
203,IGHV4/OR15-8*03,7
227,IGHV3-53*04,3
146,IGHV4-30-4*06,2
231,IGHV3-h*01,1
209,IGHV3-35*01,1
209,IGHV4-b*02,105
206,IGHV3-33*05,1
203,IGHV7-4-1*91,1
251,IGHV3-13*04,1
208,IGHV1-69*10,3
206,IGHV3-7*03,5
212,IGHV4/OR15-8*02,20
239,IGHV3-33*06,28
218,IGHV3-73*02,7
206,IGHV4-59*08,30
185,IGHV3-74*03,6
239,IGHV5-a*04,13
224,IGHV3-43*91,1
209,IGHV5-51*04,6
209,IGHV3-66*01,1
224,IGHV2-70*11,21
239,IGHV3-71*01,11
230,IGHV3/OR16-10*03,1
221,IGHV2-5*91,13
208,IGHV3-11*04,4
254,IGHV5-a*04,1
240,IGHV3-64*04,1
230,IGHV4/OR15-8*03,6
239,IGHV4-61*02,63
221,IGHV3-71*03,1
230,IGHV3-53*01,4
215,IGHV3-d*01,4
203,IGHV3-7*03,1
218,IGHV3-64*04,3
221,IGHV3-16*02,4
238,IGHV5-a*02,1
145,IGHV4-30-4*06,6
119,IGHV4-34*13,1
215,IGHV4-39*07,2
221,IGHV1-46*02,242
235,IGHV1-2*03,2
242,IGHV3-15*07,4
239,IGHV5-78*01,7
244,IGHV3-71*01,4
211,IGHV4-61*02,7
218,IGHV3-71*03,2
218,IGHV1-58*02,1
152,IGHV4-61*07,3
230,IGHV1-NL1*01,1
233,IGHV1/OR15-2*03,1
206,IGHV4-39*07,1
182,IGHV3-h*02,16
139,IGHV4-61*06,3
206,IGHV1/OR15-9*01,1
209,IGHV3-49*05,7
215,IGHV3-49*05,31
188,IGHV3-33*06,1
230,IGHV3-74*03,12
203,IGHV5-51*03,2
236,IGHV3-NL1*01,48
233,IGHV3-7*03,27
218,IGHV3-66*03,1783
209,IGHV3/OR16-9*01,18
241,IGHV1-NL1*91,1
235,IGHV1-46*02,4
200,IGHV3-66*03,5
218,IGHV3-71*01,2
200,IGHV3-49*05,1
185,IGHV1-8*02,1
239,IGHV1-8*91,53
206,IGHV1-8*91,7
215,IGHV3-23*04,9
203,IGHV3-53*04,2
234,IGHV3-h*01,2
227,IGHV6-1*02,3
209,IGHV4-61*08,23
208,IGHV3-23*02,1
194,IGHV1-2*03,1
239,IGHV3-25*05,1
185,IGHV3-23*04,7
212,IGHV2-70*11,39
239,IGHV3-72*01,4
185,IGHV3-53*03,1
203,IGHV7-4-1*02,3
233,IGHV3-66*03,2
199,IGHV4-34*09,1
215,IGHV1-8*91,12
233,IGHV3-49*05,5
230,IGHV4-59*91,2
217,IGHV4-39*07,1
215,IGHV3-71*01,22
185,IGHV3-33*06,2
227,IGHV3-23*04,10
215,IGHV1/OR15-3*02,2
206,IGHV1-24*01,5
205,IGHV3-h*01,14
165,IGHV4-30-4*06,1
227,IGHV3-22*02,5
221,IGHV5-78*01,2
236,IGHV1-24*01,9
235,IGHV3-53*01,2
212,IGHV1-3*02,2
245,IGHV4/OR15-8*03,8
221,IGHV1/OR15-2*01,9
176,IGHV4-30-4*06,1
245,IGHV3-71*02,1
209,IGHV1-NL1*91,1
218,IGHV3-NL1*01,11
234,IGHV3-64*04,1
239,IGHV3-d*01,1
227,IGHV5-51*02,10
212,IGHV4-b*02,10
221,IGHV3-73*02,33
206,IGHV2-5*09,1
233,IGHV1/OR15-1*04,4
218,IGHV3-53*01,1971
242,IGHV4-59*91,1
245,IGHV5-a*04,1
191,IGHV3-h*02,3
205,IGHV3-53*02,4
209,IGHV3-7*03,160
221,IGHV3-9*91,25
224,IGHV4-39*02,3
212,IGHV3-7*03,21
122,IGHV4-59*09,2
227,IGHV3-72*01,133
218,IGHV1/OR15-3*02,5
218,IGHV3-9*02,2
247,IGHV2/OR16-5*01,1
206,IGHV3-30*15,1
224,IGHV5-51*04,2
236,IGHV3-74*03,3
200,IGHV3-h*02,23
236,IGHV3-49*05,15
188,IGHV1-69*13,8
206,IGHV3-23*02,5
